DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,,,,,,,,,,
102005556,2010-01-25T00:00:00,2010-01-22T00:00:00,2300,20,Olympic,2071,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VAN NESS,15TH,"{'latitude': '34.0454', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3157'}",,,,,,,,,,
101822289,2010-11-11T00:00:00,2010-11-10T00:00:00,1800,18,Southeast,1803,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,88TH,WALL,"{'latitude': '33.9572', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2717'}",,,,,,,,,,
101105609,2010-01-28T00:00:00,2010-01-27T00:00:00,2230,11,Northeast,1125,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,YORK,AVENUE 51,"{'latitude': '34.1211', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2048'}",,,,,,,,,,
101620051,2010-11-11T00:00:00,2010-11-07T00:00:00,1600,16,Foothill,1641,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,EL DORADO,TRUESDALE,"{'latitude': '34.241', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3987'}",,,,,,,,,,
101910498,2010-04-07T00:00:00,2010-04-07T00:00:00,1600,19,Mission,1902,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,GLENOAKS,DRELL,"{'latitude': '34.3147', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4589'}",,,,,,,,,,
101927640,2010-12-31T00:00:00,2010-12-30T00:00:00,2100,19,Mission,1964,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,NORDHOFF,TOBIAS,"{'latitude': '34.2354', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4517'}",,,,,,,,,,
101323794,2010-10-26T00:00:00,2010-10-26T00:00:00,1315,13,Newton,1321,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,21ST,BROADWAY,"{'latitude': '34.0294', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2671'}",,,,,,,,,,
101009426,2010-04-20T00:00:00,2010-04-20T00:00:00,1230,10,West Valley,1018,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ARMINTA,GLORIA,"{'latitude': '34.2139', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4793'}",,,,,,,,,,
101621795,2010-12-21T00:00:00,2010-12-21T00:00:00,1200,16,Foothill,1653,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SAN FERNANDO,SUNBURST,"{'latitude': '34.255', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4103'}",,,,,,,,,,
101105990,2010-02-04T00:00:00,2010-02-03T00:00:00,1800,11,Northeast,1115,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,YOSEMITE,EAGLE ROCK,"{'latitude': '34.1351', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2153'}",,,,,,,,,,
101204986,2010-01-14T00:00:00,2010-01-13T00:00:00,2000,12,77th Street,1266,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8200 S  BROADWAY,,"{'latitude': '33.9651', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2783'}",,,,,,,,,,
101107212,2010-02-25T00:00:00,2010-02-24T00:00:00,2200,11,Northeast,1179,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 38,,"{'latitude': '34.0896', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2105'}",,,,,,,,,,
